idx,x,y,left_width,right_width,fixed_left_width,fixed_right_width,fixed_radius
0,-0.0006947921541713193,-0.0014239978484016584,0.8,1.1111111111111112,0.9111111111111112,0.9111111111111111,0.9111111111111112
1,0.00028752931951194096,-0.002570856036820115,0.8222222222222223,1.0888888888888888,0.9111111111111112,0.9111111111111111,0.9111111111111112
2,0.00036892676365174004,-0.0037262985617847405,0.8444444444444446,1.1555555555555557,0.9111111111111112,0.9111111111111111,0.9111111111111112
3,-0.00106230490441997,-0.0029362634977000055,0.8888888888888891,1.1555555555555557,0.9111111111111112,0.9111111111111111,0.9111111111111112
4,-0.0007016448605431884,-0.002578864953327192,0.9111111111111113,1.1333333333333333,0.9111111111111112,0.9111111111111111,0.9111111111111112
5,-0.0006528087344205817,-0.0035606264877551764,0.9333333333333333,1.0888888888888888,0.9111111111111112,0.9111111111111111,0.9111111111111112
6,-0.0008433346661112363,-0.0027130544996973793,0.888888888888889,1.0,0.9111111111111112,0.9111111111111111,0.9111111111111112
7,-0.00038776003314253376,-0.0025984499812679025,0.8222222222222223,0.9111111111111111,0.9111111111111112,0.9111111111111111,0.9111111111111112
8,-0.00033357870830029576,-0.002610833661130269,0.8444444444444446,0.888888888888889,0.9111111111111112,0.9111111111111111,0.9111111111111112
9,-0.0005073361187107999,-0.0022330456492895383,0.8444444444444444,0.888888888888889,0.9111111111111112,0.9111111111111111,0.9111111111111112
10,-0.0007537779594926078,-0.0023246390604711327,0.8444444444444446,0.888888888888889,0.9111111111111112,0.9111111111111111,0.9111111111111112
11,-0.0010819848904817556,-0.0022598258565058754,0.8444444444444446,0.8000000000000002,0.9111111111111112,0.9111111111111111,0.9111111111111112
12,-0.00026475140470051987,-0.0023642326177205552,0.8222222222222223,0.8222222222222224,0.9111111111111112,0.9111111111111111,0.9111111111111112
13,-0.000876299266425833,-0.002982042390705671,0.8,0.8222222222222223,0.9111111111111112,0.9111111111111111,0.9111111111111112
14,-0.000570376906327653,-0.002458038988417642,0.7777777777777778,0.8666666666666667,0.9111111111111112,0.9111111111111111,0.9111111111111112
15,-0.0006511538404901298,-0.0027278358761889656,0.8444444444444444,0.8666666666666668,0.9111111111111112,0.9111111111111111,0.9111111111111112
16,-0.0006539603937560945,-0.0023888391450796243,0.8444444444444446,0.8666666666666667,0.9111111111111112,0.9111111111111111,0.9111111111111112
17,-0.0005789647149475167,-0.002585035226934382,0.8222222222222223,0.9333333333333335,0.9111111111111112,0.9111111111111111,0.9111111111111112
18,-0.0005951650240135077,-0.002464639690755204,0.8222222222222223,0.9333333333333333,0.9111111111111112,0.9111111111111111,0.9111111111111112
19,-0.0005447606436293403,-0.002150232938757141,0.8222222222222223,0.9333333333333335,0.9111111111111112,0.9111111111111111,0.9111111111111112
20,-0.0007209609235672822,-0.0025422290282804687,0.8222222222222223,0.9333333333333335,0.9111111111111112,0.9111111111111111,0.9111111111111112
21,-0.0004653669291425484,-0.002124623620050041,0.8222222222222223,0.8888888888888891,0.9111111111111112,0.9111111111111111,0.9111111111111112
22,-0.001024400214791714,-0.0019868216504851195,0.8222222222222223,0.888888888888889,0.9111111111111112,0.9111111111111111,0.9111111111111112
23,-0.0002377341203285042,-0.0022664435707545868,0.9333333333333335,0.8666666666666668,0.9111111111111112,0.9111111111111111,0.9111111111111112
24,-0.0005603528388811424,-0.0024096345458478716,0.8666666666666667,0.9555555555555557,0.9111111111111112,0.9111111111111111,0.9111111111111112
25,-0.0010293365767532997,-0.002661850559610855,0.9333333333333335,0.9555555555555557,0.9111111111111112,0.9111111111111111,0.9111111111111112
26,-0.000351370484243343,-0.00284323822745472,0.9333333333333335,0.888888888888889,0.9111111111111112,0.9111111111111111,0.9111111111111112
27,-0.0012349856126930004,-0.002338828006348238,0.9555555555555557,0.888888888888889,0.9111111111111112,0.9111111111111111,0.9111111111111112
28,-0.00042795498145701497,-0.0024654403552910676,0.9555555555555556,0.888888888888889,0.9111111111111112,0.9111111111111111,0.9111111111111112
29,-0.0004945629843208994,-0.0024380387739043716,1.0222222222222224,0.888888888888889,0.9111111111111112,0.9111111111111111,0.9111111111111112
30,-0.0008289747664483479,-0.0027550463243734592,1.0222222222222221,0.888888888888889,0.9111111111111112,0.9111111111111111,0.9111111111111112
31,-0.0006959598167110802,-0.0022286343642606314,1.0444444444444445,0.888888888888889,0.9111111111111112,0.9111111111111111,0.9111111111111112
32,-0.0003083713405539608,-0.002171623979719567,1.0,0.9111111111111112,0.9111111111111112,0.9111111111111111,0.9111111111111112
33,-0.0006491667300964519,-0.0021862284194560265,1.0,0.8222222222222223,0.9111111111111112,0.9111111111111111,0.9111111111111112
34,-0.0007438283258996825,-0.0020170318994240264,0.9333333333333333,0.9111111111111111,0.9111111111111112,0.9111111111111111,0.9111111111111112
35,-0.00088998984924379,-0.0022440272960016533,0.9333333333333335,0.9111111111111112,0.9111111111111112,0.9111111111111111,0.9111111111111112
36,-0.0008074130582964765,-0.002287432558585244,0.888888888888889,0.9111111111111112,0.9111111111111112,0.9111111111111111,0.9111111111111112
37,-0.0005406038826096226,-0.0021122272939100863,0.9333333333333333,0.9555555555555557,0.9111111111111112,0.9111111111111111,0.9111111111111112
38,-0.0005815972910221736,-0.002087225701803271,0.8666666666666668,0.9555555555555556,0.9111111111111112,0.9111111111111111,0.9111111111111112
39,-0.0006213758567373157,-0.002493435321007299,0.8666666666666669,0.9555555555555557,0.9111111111111112,0.9111111111111111,0.9111111111111112
40,-0.0006065866288483239,-0.0020790293763089983,0.8666666666666668,0.9555555555555556,0.9111111111111112,0.9111111111111111,0.9111111111111112
41,-0.0008366221624980585,-0.002155234551689527,0.8222222222222223,0.9333333333333335,0.9111111111111112,0.9111111111111111,0.9111111111111112
42,-0.0007391658457837149,-0.0022204345328820704,0.8222222222222223,0.9333333333333335,0.9111111111111112,0.9111111111111111,0.9111111111111112
43,-0.0008241946350571954,-0.002255622257606258,0.8222222222222223,0.8444444444444446,0.9111111111111112,0.9111111111111111,0.9111111111111112
44,-0.0006307696310189886,-0.0024768338046146504,0.8222222222222223,0.8444444444444446,0.9111111111111112,0.9111111111111111,0.9111111111111112
45,-0.0010973681781243265,-0.0025936305924940772,0.8444444444444446,0.8444444444444446,0.9111111111111112,0.9111111111111111,0.9111111111111112
46,-0.0048831836468096815,-0.0015194004673432188,0.8,0.8,0.9111111111111112,0.9111111111111111,0.9111111111111112
47,-0.014292401931422845,-0.002103186727464414,0.8,0.8,0.9111111111111112,0.9111111111111111,0.9111111111111112
48,-0.037392376921337865,0.002074112982301532,0.8,0.8,0.9111111111111112,0.9111111111111111,0.9111111111111112
49,-0.06238095107042641,0.00021540483306689621,0.8,0.8,0.9111111111111112,0.9111111111111111,0.9111111111111112
